Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Атрощенко,Віталій,Ілліч,Чоловік,1997-11-08,Доцент,селище Слов'янськ,"сквер Десантний, буд. 8 кв. 90, Брянка, 39934",366-60-09,ievdokymenkoleontii@example.org
Габелко,Василина,Назарівна,Жінка,1963-11-12,Бібліотекар,місто Новоград-Волинський,"площа Ліверпульський, буд. 295 кв. 1, Ірпінь, 47144",+380 49 473 13 20,xlutsenko@example.com
Усик,Лукʼян,Максимович,Чоловік,1952-07-14,Гицель,село Павлоград,"набережна Донецька, буд. 738 кв. 511, Жовква, 44742",+380 05 613-65-69,stepansyrotenko@example.net
Юрчишин,Лілія,Анатоліївна,Жінка,1984-11-10,Електромонтер,хутір Скадовськ,"шосе П'ята, буд. 7, Судак , 85667",+380 56 962-31-81,skopenkoiustyna@example.net
Пелех,Панас,Максимович,Чоловік,1992-03-25,Публіцист,село Іршава,"парк Канатна, буд. 9 кв. 434, Соснівка , 83028",+380 (68) 029-47-98,kamillaadamenko@example.net
Верес,Роман,Павлович,Чоловік,1956-07-04,Геолог,хутір Червоносів,"провулок Степана Олійника узвіз, буд. 9 кв. 379, Житомир, 84788",665-76-90,nazardankiv@example.com
Ляшко,Давид,Назарович,Чоловік,1950-10-24,Піаніст,село Марганець ,"площа Курортний, буд. 062 кв. 424, Умань, 11706",+380 52 315-30-77,viacheslav94@example.net
Баран,Зиновій,Ілліч,Чоловік,2001-06-06,Будник,місто Зеленодольськ,"узвіз Жолкова Бориса, буд. 0, Боково-Хрустальне, 51413",+380 07 411-83-14,ierchenkoieva@example.com
Жадан,Михайлина,Іллівна,Жінка,1994-07-20,Музичний редактор,хутір Бобринець,"провулок Хвойний, буд. 2 кв. 9, Новомиргород, 11532",+380 (82) 571-75-92,shcherbakkhrystyna@example.org
Назаренко,Роман,Костянтинович,Чоловік,1985-06-16,Стропальник,місто Косів,"набережна Єнісейська, буд. 584 кв. 648, Вашківці, 29613",539-60-74,irenaaleksiichuk@example.net
Сірченко,Дмитро,Назарович,Чоловік,1968-01-17,Психолог,хутір Ровеньки,"проспект Каховський, буд. 14, Амвросіївка, 22384",636 40 16,andreikoroksolana@example.com
Скоробогатько,Богодар,Назарович,Чоловік,1984-02-11,Мікробіолог,хутір Черкаси,"узвіз Індійська, буд. 361 кв. 0, Червоноград, 46805",+380 52 806-66-34,martynandreiko@example.com
Базавлученко,Руслан,Юрійович,Чоловік,1974-12-10,Перекладач,селище Єнакієве,"площа Косий, буд. 04, Васильків, 34628",037 455 72 08,ozakusylo@example.org
Чалий,Давид,Юрійович,Чоловік,1945-08-14,Пілот,хутір Куп'янськ,"провулок Селищна, буд. 05 кв. 1, Саки , 05080",257-97-49,albert18@example.org
Журавель,Григорій,Костянтинович,Чоловік,1988-09-10,Електромонтажник,село Городок,"узвіз Вільгельма Габсбурга, буд. 719 кв. 3, Сторожинець, 95534",414 95 01,stefanlazarenko@example.net
Ґоляш,Амвросій,Юрійович,Чоловік,1985-07-27,Перекладач,хутір Міусинськ,"парк 6-та Лінія Марії Демченко, буд. 0 кв. 94, Монастирище, 54280",+380 20 009 91 04,havrylyshynruslan@example.com
Усик,Петро,Тарасович,Чоловік,1994-03-27,Ґрунтознавець,місто Первомайськ,"набережна Скляний 3-й, буд. 16, Авдіївка, 75794",+380 56 883-02-60,pmatviienko@example.org
Яковенко,Едуард,Максимович,Чоловік,1971-07-18,Гицель,місто Гола Пристань,"шосе Ползунова 2-й, буд. 656, Бунге , 13133",+380 81 292 37 82,dderiazhna@example.org
Чуприна,Марко,Максимович,Чоловік,2003-11-07,Громадський діяч,село Дніпро ,"сквер Кришталева, буд. 796 кв. 412, Баштанка, 15252",058 133 46 25,zakusyloserhii@example.net
Колісниченко,Вікторія,Іллівна,Жінка,2007-01-20,Прокурор,місто Українськ,"провулок Магнітогорський, буд. 3, Зугрес, 71909",078 028-60-83,isaienkovalerii@example.org
Забара,Леонтій,Ілліч,Чоловік,1976-10-04,Мовознавець,селище Косів,"площа Сортувальна 2-га, буд. 83, Білопілля, 36898",+380 91 508-25-77,borysarsenych@example.net
Закусило,Ігнат,Назарович,Чоловік,2000-12-19,Стропальник,село Семенівка,"провулок Заводська 5-та, буд. 2 кв. 31, Бердянськ, 85822",973 09 70,filipenkoemiliia@example.net
Оніщук,Еріка,Максимівна,Жінка,1967-08-09,Локсмайстер,місто Географія Вільнянська,"вулиця Інтернаціональний, буд. 2 кв. 92, Новомосковськ, 38371",072 191 06 44,iarynaredko@example.org
Алексійчук,Вадим,Максимович,Чоловік,1985-07-14,Мірошник,село Вознесенівка,"провулок Садова 6-та, буд. 53, Жовті Води, 36514",058 938 34 86,pvelychko@example.org
Щириця,Данило,Павлович,Чоловік,1940-12-06,Геофізик,селище Ірпінь,"вулиця Бітумна, буд. 7 кв. 05, Токмак, 99934",+380 (02) 113-32-10,mdanko@example.org
Данилюк,Охрім,Олександрович,Чоловік,1956-07-11,Кур'єр,місто Снігурівка,"проспект Олександра Стурдзи, буд. 31 кв. 927, Миколаївка , 12168",+380 81 073-24-75,bohdannabalaban@example.org
Шило,Йосип,Тарасович,Чоловік,1954-05-02,Редактор,місто Армянськ,"проспект Київське, буд. 79 кв. 72, Красилів, 69045",186-49-62,vasylyna06@example.org
Луценко,Ганна,Ярославівна,Жінка,1992-12-01,Перекладач,село Перещепине,"парк Джутовий, буд. 3 кв. 209, Городня, 05426",047 775-83-85,leoniashchenko@example.net
Яковенко,Надія,Павлівна,Жінка,1958-12-31,Гірник,місто Судова Вишня,"шосе Станційна 3-тя, буд. 636 кв. 317, Рені, 72037",+380 54 886 23 51,kchumak@example.org
Дубенко,Григорій,Романович,Чоловік,1994-01-17,Локсмайстер,місто Новий Розділ,"провулок Регенсбург, буд. 932, Алупка, 64689",516 31 30,panteleimonzaporozhets@example.net
Проценко,Тереза,Святославівна,Жінка,1990-12-11,Археолог,селище Галич,"шосе Академіка Глушка, буд. 288 кв. 0, Тлумач, 68669",773 65 81,olena39@example.net
Яремків,Данна,Павлівна,Жінка,1940-03-23,Піаніст,місто Чуднів,"провулок Михайла Божія, буд. 40 кв. 4, Гнівань, 29923",008 759 37 19,opanas38@example.com
Ґерета,Пармен,Костянтинович,Чоловік,1984-08-19,Науковець,село Хоростків,"площа Кінна, буд. 072 кв. 5, Покровськ, 06844",090 506 14 35,gchuiko@example.com
Тичина,Емілія,Костянтинівна,Жінка,1992-10-28,Няня,селище Лисичанськ,"шосе Сільськогосподарський, буд. 638, Лохвиця, 60368",314 79 24,bandriichuk@example.com
Конопленко,Мартин,Юрійович,Чоловік,1942-08-18,Кіноактор,село Вашківці,"набережна Садова 4-та, буд. 659 кв. 134, Макіївка, 59010",+380 59 216 44 90,iarynadubas@example.net
Шутько,Марко,Олександрович,Чоловік,1984-06-05,Філолог,місто Татарбунари,"вулиця Аеродромний 2-й, буд. 48, Умань, 08972",097 245-54-69,amaliiamakohon@example.net
Швачка,Святослав,Ярославович,Чоловік,1941-03-30,Стиліст,село Подільськ,"провулок Таїрова, буд. 48 кв. 61, Вуглегірськ, 07405",+380 43 090-87-52,tarasvivcharenko@example.org
Ґжицька,Ольга,Максимівна,Жінка,1971-09-30,Мірошник,селище Токмак,"проспект М’ясоєдовська, буд. 392 кв. 922, Сквира, 55460",026 737-29-80,ishmorhun@example.org
Жадан,Артем,Романович,Чоловік,1958-05-01,Електротехнік,селище Помічна,"шосе Радіо, буд. 627, Красногорівка, 55075",+380 02 286-05-03,valerii69@example.org
Пустовіт,Леонтій,Олександрович,Чоловік,1982-09-04,Електромонтажник,село Брянка,"площа Макаренка, буд. 671, Зеленодольськ, 24635",+380 12 870-86-31,ustym51@example.com
